Date,Ticker,Sector,Open,High,Low,Close,Volume
2024-06-03,AAPL,Technology,192.46522387732944,194.55052487571635,192.08609069758458,193.59268188476562,50080500.0
2024-06-04,AAPL,Technology,194.20129645164835,194.87977170290745,192.59492465346364,193.91195678710938,47471400.0
2024-06-05,AAPL,Technology,194.95958593724887,196.45620511862302,194.43078171111515,195.42852783203125,54156800.0
2024-06-06,AAPL,Technology,195.24895132280378,196.05712328824086,193.73237287474004,194.0416717529297,41181800.0
2024-06-07,AAPL,Technology,194.2112712938544,196.4961183769711,193.7024262662087,196.44622802734375,53103900.0
2024-06-10,AAPL,Technology,196.45620195884163,196.85530953542744,191.7169079607164,192.68472290039062,97262100.0
2024-06-11,AAPL,Technology,193.21353266624035,206.6930926736998,193.1935887051364,206.68310546875,172373300.0
2024-06-12,AAPL,Technology,206.902617394007,219.7037025197263,206.43367547843766,212.58978271484375,198134300.0
2024-06-13,AAPL,Technology,214.25601418934664,216.2614784743462,211.12309188063193,213.75714111328125,97862700.0
2024-06-14,AAPL,Technology,213.36801320894725,214.68503016669274,210.8237575657328,212.01107788085938,70122700.0
2024-06-17,AAPL,Technology,212.88909055319678,218.45651588142053,212.2405616472853,216.18165588378906,93728300.0
2024-06-18,AAPL,Technology,217.09957203800778,218.13723651623954,212.5199210550432,213.8070068359375,79943300.0
2024-06-20,AAPL,Technology,213.44781843702847,213.75713252024897,208.3792815854295,209.2073974609375,86172500.0
2024-06-21,AAPL,Technology,209.91581187096148,211.41243109582913,206.64320571720273,207.02235412597656,246421400.0
2024-06-24,AAPL,Technology,207.25183162238307,212.22060318958276,206.1243736003879,207.67088317871094,80727000.0
2024-06-25,AAPL,Technology,208.67859169129048,210.90357646615678,208.13981549353107,208.59878540039062,56713900.0
2024-06-26,AAPL,Technology,211.0233076661301,214.37573529051122,210.16524538059215,212.7693634033203,66213200.0
2024-06-27,AAPL,Technology,214.2061287476001,215.25376527623442,211.8714063519454,213.61746215820312,49772700.0
2024-06-28,AAPL,Technology,215.28368048569334,215.58300736088682,209.8260080950157,210.14527893066406,82542700.0
2024-07-01,AAPL,Technology,211.61197396968475,217.01975619065925,211.4423589537816,216.261474609375,60402900.0
2024-07-02,AAPL,Technology,215.66281990345283,219.88329699479613,214.61519864650157,219.77354431152344,58046200.0
2024-07-03,AAPL,Technology,219.50414962607874,221.0506591796875,218.53633465750286,221.0506591796875,37369800.0
2024-07-05,AAPL,Technology,221.15041758535088,225.93960192344272,221.15041758535088,225.82984924316406,60412400.0
2024-07-08,AAPL,Technology,226.57816816685514,227.33646497984205,222.74682662809306,227.30653381347656,59085900.0
2024-07-09,AAPL,Technology,227.41627168952732,228.8829597417087,225.85979013808537,228.16458129882812,48076100.0
2024-07-10,AAPL,Technology,228.78319647541346,232.55467572482934,228.73330612276442,232.45489501953125,62627700.0
2024-07-11,AAPL,Technology,230.86848076037649,231.86622690917008,225.26115227596378,227.05709838867188,64710600.0
